number,character,Mandarin,Definition,primaryRadical,radicalMandarin,hanzipyStrokes,hanzipyRadicals
77,法,fǎ,"law, rule, regulation, statute; France, French",水,shuǐ,"⺀, ㇀, 一, 丨, 一, ㇛, 丶",
77a,氵,shui,water; radical number 85,,,,
77b,土,tǔ,"soil, earth; items made of earth",,,,
77c,厶,sī,"private, secret; Kangxi radical 28",,,,
78,当,dāng,"bear, accept, undertake; just",彐,jì,"丨, 丷, ㇕, 二",
78a,⺌,,,,,,
78b,彐,jì,snout; Kangxi radical 58,,,,
79,起,qǐ,"rise, stand up; go up; begin",走,zǒu,"一, 丨, 一, 龰, 匚, 乚",
79a,走,zǒu,"walk, go on foot; run; leave; Kangxi radical 156",,,,
79b,己,jǐ,"self, oneself; personal, private; 6th heavenly stem",,,,
80,与,yǔ,"and; with; to; for; give, grant",一,yī,"己, 一",
80a,No glyph available,,,,,,
80b,一,yī,"one; a, an; alone",,,,
81,好,hǎo,"good, excellent, fine; well",女,nǚ,"㇛, 一, 丿, ㇇, 亅, 一",
81a,女,nǚ,"woman, girl; feminine; Kangxi radical 38; 10th lunar mansion, determinative star ε Aquarii (Albali)",,,,
81b,子,zi,"offspring, child; fruit, seed of; first earthly branch",,,,
82,看,kàn,"look, see; examine, scrutinize",目,mù,"龵, 口, 二",
82a,龵,,,,,,
82b,目,mù,"eye; look, see; division, topic; Kangxi radical 109",,,,
83,学,xué,"learning, knowledge; school",子,zi,"⺍, 冖, ㇇, 亅, 一",
83a,⺍,,,,,,
83b,冖,mì,cover; Kangxi radical 14,,,,
83c,子,zi,"offspring, child; fruit, seed of; first earthly branch",,,,
84,进,jìn,"advance, make progress, enter",辵,chuò,"丶, ㇆, ㇝, 丨, 二",
84a,辶,chuò,walk; walking; Kangxi radical 162,,,,
84b,No glyph available,,,,,,
84c,二,èr,two; twice,,,,
85,种,zhǒng,"seed; race, breed; to plant",禾,hé,"㇒, 一, 丨, 八, 口, 丨",
85a,禾,hé,grain still on stalk; rice plant,,,,
85b,口,kǒu,"mouth; open end; entrance, gate",,,,
85c,丨,gǔn,(same as U+3021 HANGZHOU NUMERAL ONE 〡) number one; line; Kangxi radical 2,,,,
86,将,jiāng,"will, going to, future; general",寸,cùn,"一, 丶, 丨, 亅, 八, 亅, 二, 一, 丶, 从, 一, 丨",
86a,丬,qiáng,half of tree trunk; rad. no. 90,,,,
86b,小,xiǎo,"small, tiny, insignificant",,,,
86c,扌,shou,hand; radical number 64,,,,
86d,亠,tóu,head; Kangxi radical 8,,,,
86e,从,cóng,"from, by, since, whence, through",,,,
86f,十,shí,"ten, tenth; complete; perfect",,,,
87,还,hái,"still, yet, also, besides",辵,chuò,"丶, ㇆, ㇝, 一, 丿, 丨, 丶",
87a,辶,chuò,walk; walking; Kangxi radical 162,,,,
87b,一,yī,"one; a, an; alone",,,,
87c,丿,piě,line; Kangxi radical 4,,,,
87d,卜,bo bǔ,fortune telling; prophesy,,,,
88,分,fēn,divide; small unit of time etc.,刀,dāo,"八, ㇆, 丿",
88a,八,bā,"eight; all around, all sides",,,,
88b,刀,dāo,knife; old coin; measure,,,,
89,此,cǐ,"this, these; in this case, then",止,zhǐ,"丨, 一, 丨, 一, 乚, ㇒",
89a,止,zhǐ,"stop, halt, desist; detain",,,,
89b,匕,bǐ,"spoon, ladle; knife, dirk",,,,
90,心,xīn,"heart; mind, intelligence; soul; 5th lunar mansion, determinative star α Scorpii (Antares)",心,xīn,"𠁼, ㇃",
90a,心,xīn,"heart; mind, intelligence; soul; 5th lunar mansion, determinative star α Scorpii (Antares)",,,,
91,前,qián,"in front, forward; preceding",刀,dāo,"丷, 一, 冂, 二, 亅, 丨",
91a,丷,bā,"“ears-out” component used in some Chinese characters (e.g. U+5151 兑); archaic form of U+516B 八; kwukyel, an archaic hanja-based writing system used in Korea before the invention of hangul",,,,
91b,一,yī,"one; a, an; alone",,,,
91c,月,yuè,moon; month; Kangxi radical 74,,,,
91d,刂,dāo,knife; radical number 18,,,,
92,面,miàn,"face; surface; plane; side, dimension; Kangxi radical 176",面,miàn,"一, 丿, 冂, 一, 丨, 二",
92a,面,miàn,"face; surface; plane; side, dimension; Kangxi radical 176",,,,
93,又,yòu,"and, also, again, in addition",又,yòu,"㇇, ㇏",
93a,又,yòu,"and, also, again, in addition",,,,
94,定,dìng,"decide, settle, fix",宀,mián,"冖, 丶, 一, 龰",
94a,宀,mián,roof; Kangxi radical 40,,,,
94b,一,yī,"one; a, an; alone",,,,
94c,龰,,,,,,
95,见,jiàn,"see, observe, behold; perceive",见,jiàn,"冂, 丿, 乚",
95a,见,jiàn,"see, observe, behold; perceive",,,,
96,只,zhǐ,"only, just, simply",口,kǒu,"口, 八",
96a,口,kǒu,"mouth; open end; entrance, gate",,,,
96b,八,bā,"eight; all around, all sides",,,,
97,主,zhǔ,"master, chief owner; host; lord",丶,zhǔ,"一, 一, 丨, 一, 丶",
97a,王,wáng,"king, ruler; royal; surname",,,,
97b,丶,zhǔ,dot; Kangxi radical 3,,,,
98,没,méi,"not, have not, none; drown, sink",水,shuǐ,"⺀, ㇀, 丿, ㇠, ㇇, ㇏",
98a,氵,shui,water; radical number 85,,,,
98b,殳,shū,name of old weapon; kill; rad. 79,,,,
99,公,gōng,"fair, equitable; public; duke",八,bā,"八, ㇛, 丶",
99a,八,bā,"eight; all around, all sides",,,,
99b,厶,sī,"private, secret; Kangxi radical 28",,,,
100,从,cóng,"from, by, since, whence, through",人,rén,从,
100a,从,cóng,"from, by, since, whence, through",,,,
